Symbol,Company Name,Industry,Prior Close,5 Day Chg_x,4 Week Chg_x,52 Week Chg,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,P/E Ratio (TTM)*,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
NUE,Nucor Corp,Metals & Mining,116.57,-4.13%,-5.00%,-34.00%,0,1,0.0,0.5,1,0.0,0.5,1,-9.86%,-17.18%,-41.23%,19.53x,0.84x,1.28x,8.02x,27.18x,6.54%,4.62%,-13.10%,40.98%,5.07%,4.40%,1.99%,6.19%
NVDA,NVIDIA Corp,Semiconductors & Semiconductor Equipment ,108.73,-1.48%,1.00%,27.00%,0,1,1.0,1.0,1,1.0,1.0,1,17.17%,-0.72%,27.08%,45.19x,24.82x,40.99x,43.34x,9.64x,119.18%,82.20%,44.48%,28.94%,53.01%,24.52%,0.03%,16.27%
NVR,NVR Inc,Homebuilding & Construction Supplies,"7,040.35",-2.42%,-2.00%,-8.00%,1,0,0.0,1.0,0,0.0,0.5,1,-7.11%,2.02%,-13.87%,14.55x,1.92x,5.27x,12.87x,18.72x,38.25%,24.93%,-17.57%,7.11%,-6.03%,0.14%,0.00%,0.00%
NXPI,NXP Semiconductors NV,Semiconductors & Semiconductor Equipment ,196.24,-6.75%,2.00%,-20.00%,1,1,0.0,0.5,1,0.0,1.0,1,-4.69%,-16.30%,-35.98%,21.40x,4.03x,5.34x,15.00x,54.79x,26.02%,9.94%,-12.53%,19.04%,-5.65%,8.98%,2.06%,26.54%
ORLY,O'Reilly Automotive Inc,Other Specialty Retailers,"1,370.16",-0.39%,-4.00%,29.00%,0,0,0.0,-1.0,1,-1.0,1.0,1,-5.24%,8.89%,25.05%,33.45x,4.61x,0.00x,27.27x,131.61x,0.00%,16.12%,7.94%,12.49%,5.53%,6.39%,0.00%,0.00%
OXY,Occidental Petroleum Corp,Oil & Gas,40.51,-5.28%,-17.00%,-40.00%,0,0,0.0,-1.0,1,0.0,0.0,1,-4.46%,-17.42%,-40.44%,16.63x,1.47x,1.46x,4.02x,42.17x,9.85%,3.94%,-29.48%,29.10%,-1.76%,4.90%,2.34%,-22.46%
ODFL,Old Dominion Freight Line Inc,Freight & Logistics Services,149.00,-3.73%,-11.00%,-20.00%,0,0,0.0,0.5,0,0.0,0.0,1,-3.34%,-13.15%,-13.84%,30.67x,6.03x,8.19x,23.09x,1.40x,26.59%,20.61%,-6.02%,16.70%,-2.17%,8.37%,0.68%,35.62%
OMC,Omnicom Group Inc,Media & Publishing,75.45,-4.14%,-7.00%,-22.00%,1,0,0.0,0.5,0,0.0,0.5,1,-10.10%,-8.40%,-30.26%,9.99x,0.91x,3.26x,8.04x,53.33x,36.50%,5.54%,3.72%,5.86%,2.40%,3.11%,3.83%,1.89%
ON,ON Semiconductor Corp,Semiconductors & Semiconductor Equipment ,40.04,-5.01%,-3.00%,-42.00%,1,0,-1.0,0.5,0,0.0,0.5,1,-0.64%,-20.55%,-49.64%,29.32x,2.65x,2.20x,13.68x,29.51x,7.85%,4.76%,-43.22%,36.28%,-16.53%,9.40%,0.00%,0.00%
OKE,ONEOK Inc,Oil & Gas Related Equipment and Services,87.87,-5.42%,-12.00%,6.00%,0,0,0.0,0.5,1,0.0,0.5,1,-11.46%,-13.61%,-9.48%,15.89x,2.04x,2.38x,11.49x,59.16x,16.03%,5.82%,5.61%,15.20%,28.38%,2.22%,5.06%,2.33%
ORCL,Oracle Corp,Software & IT Services,140.14,-1.31%,-2.00%,18.00%,0,1,0.0,1.0,0,0.0,0.5,1,7.40%,-6.40%,14.69%,36.95x,7.91x,26.36x,24.25x,84.80x,108.80%,8.15%,7.55%,11.71%,7.78%,14.08%,1.27%,16.05%
OTIS,Otis Worldwide Corp,"Machinery, Equipment & Components",93.65,-0.69%,-9.00%,1.00%,0,1,0.0,0.5,0,0.0,0.0,1,-1.62%,2.76%,-10.56%,25.49x,2.71x,0.00x,21.37x,246.15x,0.00%,15.41%,0.00%,0.00%,0.00%,0.00%,1.73%,0.00%
PCAR,PACCAR Inc,"Machinery, Equipment & Components",92.04,-1.71%,-5.00%,-18.00%,1,0,0.0,-1.0,0,0.0,0.0,1,-4.44%,-7.22%,-20.90%,14.31x,1.53x,2.75x,11.36x,46.49x,19.90%,8.36%,-26.08%,20.72%,-13.78%,8.44%,1.40%,37.34%
PKG,Packaging Corp Of America,Containers & Packaging,186.39,0.93%,-5.00%,7.00%,0,1,0.0,0.5,0,0.0,0.5,1,-4.21%,-3.85%,-3.53%,20.14x,2.03x,3.85x,12.40x,35.56x,20.07%,9.67%,13.27%,8.79%,5.53%,3.41%,2.60%,9.61%
PLTR,Palantir Technologies Inc,Software & IT Services,114.65,-4.55%,31.00%,235.00%,0,0,1.0,1.0,0,0.0,0.0,1,6.52%,20.50%,424.76%,534.04x,92.65x,53.20x,473.62x,0.00x,12.41%,10.04%,41.46%,27.59%,36.08%,28.46%,0.00%,0.00%
PANW,Palo Alto Networks Inc,Software & IT Services,181.54,-3.50%,4.00%,23.00%,0,1,1.0,1.0,1,1.0,1.0,1,-0.73%,-1.96%,9.59%,106.52x,13.99x,17.14x,78.88x,5.03x,21.16%,6.20%,14.79%,12.88%,14.36%,14.33%,0.00%,0.00%
PARA,Paramount Global,Media & Publishing,11.69,-0.34%,1.00%,-2.00%,0,-1,0.0,0.5,-1,-1.0,-0.5,1,-2.58%,8.28%,-11.69%,0,0.29x,0.48x,0.00x,46.15x,-28.56%,-10.62%,-19.48%,16.13%,-2.90%,0.65%,1.69%,-22.60%
PH,Parker-Hannifin Corp,"Machinery, Equipment & Components",597.09,-2.27%,-1.00%,8.00%,1,1,0.0,1.0,0,1.0,1.0,1,3.41%,-1.02%,9.35%,25.29x,4.24x,6.27x,19.53x,41.16x,27.16%,11.60%,4.91%,8.09%,-1.01%,4.24%,1.10%,13.95%
PAYX,Paychex Inc,Professional & Commercial Services  ,144.16,1.13%,-5.00%,19.00%,0,1,0.0,1.0,0,0.0,0.0,1,1.68%,8.84%,11.73%,32.48x,10.34x,13.67x,29.46x,16.55x,44.25%,14.35%,5.51%,6.43%,4.68%,9.85%,2.77%,9.68%
PAYC,Paycom Software Inc,Software & IT Services,226.49,1.97%,4.00%,20.00%,0,0,1.0,1.0,0,0.0,0.0,1,8.70%,27.72%,31.48%,37.32x,7.65x,8.53x,26.74x,0.00x,24.99%,8.47%,9.01%,10.95%,7.85%,9.26%,0.57%,0.00%
PYPL,PayPal Holdings Inc,Professional & Commercial Services  ,64.93,-0.17%,0.00%,-1.00%,0,1,0.0,1.0,0,1.0,0.5,1,3.57%,-3.62%,4.37%,16.02x,2.18x,3.45x,12.50x,38.42x,22.20%,5.52%,9.46%,10.81%,2.83%,5.75%,0.00%,0.00%
PNR,Pentair PLC,"Machinery, Equipment & Components",89.99,-0.16%,4.00%,13.00%,0,0,0.0,1.0,-1,1.0,0.5,1,1.66%,7.35%,5.49%,25.18x,3.94x,4.42x,21.08x,33.56x,18.59%,9.60%,9.47%,10.34%,1.16%,4.07%,1.02%,5.02%
PEP,PepsiCo Inc,Beverages,133.76,-1.05%,-11.00%,-24.00%,0,0,1.0,-1.0,0,0.0,0.5,1,-9.72%,-8.61%,-35.08%,19.13x,1.95x,9.72x,13.57x,72.36x,50.06%,9.33%,-3.31%,6.08%,0.03%,3.00%,4.37%,7.04%
PFE,Pfizer Inc,Pharmaceuticals,23.05,1.95%,-9.00%,-10.00%,0,0,1.0,0.5,0,0.0,0.5,1,-5.04%,-6.85%,-29.29%,16.71x,2.10x,1.45x,8.86x,40.66x,8.62%,3.68%,-3.22%,2.99%,-1.95%,-0.28%,7.47%,3.13%
PCG,PG&E Corp,Electrical Utilities & IPPs,17.28,-1.85%,1.00%,1.00%,0,0,0.0,1.0,-1,0.0,0.5,1,-8.11%,13.59%,-17.45%,15.66x,1.52x,1.29x,5.66x,65.78x,8.57%,1.83%,10.29%,8.67%,5.06%,2.97%,0.59%,0.00%
PM,Philip Morris International Inc.,Food & Tobacco,169.17,3.60%,10.00%,79.00%,0,1,1.0,1.0,1,1.0,1.0,1,-3.27%,21.06%,57.50%,27.57x,7.11x,0.00x,23.39x,121.96x,0.00%,14.97%,13.70%,11.24%,8.60%,8.27%,3.08%,2.72%
PSX,Phillips 66,Oil & Gas,105.78,-9.45%,-15.00%,-31.00%,0,1,0.0,1.0,0,0.0,0.5,1,1.32%,-10.07%,-28.18%,25.58x,0.33x,1.69x,11.25x,39.87x,6.48%,2.62%,-24.88%,124.03%,-10.90%,0.26%,4.25%,5.15%
PNW,Pinnacle West Capital Corp,Electrical Utilities & IPPs,94.59,-0.70%,0.00%,27.00%,0,1,0.0,-1.0,0,0.0,0.5,1,-10.68%,3.70%,5.00%,17.86x,2.06x,1.59x,6.77x,58.70x,9.08%,2.32%,-13.17%,11.65%,1.16%,5.85%,3.98%,3.37%
PNC,PNC Financial Services Group Inc,Banking Services,159.65,-3.61%,-8.00%,2.00%,1,1,0.0,1.0,-1,1.0,0.5,1,1.67%,-5.60%,0.41%,12.22x,3.13x,1.21x,10.25x,0.00x,10.50%,1.09%,9.90%,13.84%,5.78%,5.53%,3.70%,8.45%
POOL,Pool Corp,Leisure Products,291.33,-3.21%,-7.00%,-21.00%,0,0,-1.0,0.5,0,0.0,0.0,1,-1.31%,-7.71%,-25.01%,28.46x,2.17x,9.23x,25.05x,45.28x,31.49%,10.94%,-2.30%,8.88%,0.26%,4.24%,1.65%,17.48%
PPG,PPG Industries Inc,Chemicals,102.96,-1.64%,-5.00%,-21.00%,0,0,0.0,1.0,0,0.0,0.5,1,0.27%,-1.22%,-25.00%,19.68x,1.66x,3.64x,13.87x,50.59x,17.74%,6.27%,0.13%,8.50%,-0.79%,3.03%,2.45%,6.08%
PPL,PPL Corp,Multiline Utilities,36.46,-0.12%,1.00%,33.00%,1,1,0.0,-1.0,1,0.0,1.0,1,-10.96%,5.42%,5.83%,25.64x,2.93x,1.78x,10.79x,54.73x,7.00%,2.44%,7.69%,7.69%,3.51%,3.37%,3.17%,-8.97%
PFG,Principal Financial Group Inc,Insurance,73.87,-5.00%,-12.00%,-7.00%,1,0,0.0,0.5,-1,0.0,0.0,1,-3.17%,-6.43%,-15.63%,16.59x,1.10x,1.55x,0.00x,27.28x,9.70%,0.36%,15.78%,11.52%,3.98%,4.22%,3.83%,5.51%
PG,Procter & Gamble Co,Personal &Household Products & Services,161.85,1.61%,-4.00%,0.00%,0,1,1.0,-1.0,1,0.0,0.5,1,-2.88%,3.35%,-10.66%,26.21x,4.61x,7.51x,21.29x,39.39x,30.18%,12.85%,2.73%,3.10%,0.12%,2.64%,2.56%,5.73%
PGR,Progressive Corp,Insurance,269.58,-1.43%,-5.00%,27.00%,1,0,1.0,1.0,1,1.0,0.5,1,-1.89%,8.41%,22.00%,18.68x,2.07x,5.61x,18.05x,19.23x,34.34%,8.48%,13.52%,-0.75%,15.45%,11.02%,0.14%,13.08%
PLD,Prologis Inc,Residential & Commercial REITs,103.32,-3.79%,-7.00%,-2.00%,0,1,0.0,0.5,1,0.0,0.5,1,-4.54%,-8.98%,-12.59%,26.20x,11.63x,1.83x,14.90x,35.71x,7.01%,4.18%,-37.16%,16.27%,12.29%,5.80%,3.84%,12.62%
PRU,Prudential Financial Inc,Insurance,103.61,-4.37%,-7.00%,-7.00%,0,1,1.0,0.5,0,0.0,0.0,1,-7.66%,-3.59%,-22.21%,16.19x,0.63x,1.21x,22.82x,41.00x,7.95%,0.32%,8.80%,8.30%,-16.15%,4.28%,5.28%,5.39%
PTC,PTC Inc,Software & IT Services,151.83,-0.83%,0.00%,-15.00%,0,0,0.0,1.0,0,0.0,0.5,1,5.48%,7.63%,-15.78%,46.81x,8.74x,6.03x,37.57x,29.09x,13.91%,7.12%,19.69%,13.65%,8.74%,9.16%,0.00%,0.00%
PEG,Public Service Enterprise Group Inc,Multiline Utilities,80.90,-1.36%,-1.00%,19.00%,0,1,0.0,-1.0,1,0.0,0.5,1,-11.11%,-4.31%,-5.44%,21.15x,3.59x,2.36x,11.96x,58.84x,11.40%,3.39%,9.24%,7.96%,9.67%,5.75%,3.26%,5.01%
PSA,Public Storage,Residential & Commercial REITs,292.11,-3.02%,-1.00%,13.00%,0,0,0.0,0.5,0,1.0,0.5,1,-5.48%,1.86%,-5.06%,29.37x,10.99x,9.95x,17.79x,49.36x,32.76%,10.11%,-5.73%,4.99%,0.75%,4.04%,4.06%,8.45%
PHM,Pultegroup Inc,Homebuilding & Construction Supplies,102.42,-4.08%,0.00%,-10.00%,1,0,0.0,1.0,0,1.0,0.5,1,-10.01%,-2.47%,-21.58%,6.95x,1.10x,1.61x,6.51x,14.30x,25.52%,17.40%,-21.90%,5.49%,-4.78%,2.47%,0.89%,18.31%
QCOM,Qualcomm Inc,Semiconductors & Semiconductor Equipment ,147.62,-3.43%,-3.00%,-10.00%,0,1,0.0,0.5,0,1.0,0.5,1,-6.01%,-11.16%,-34.03%,15.05x,3.79x,5.85x,12.63x,34.53x,42.21%,20.30%,15.17%,1.36%,11.63%,1.40%,2.42%,5.88%
PWR,Quanta Services Inc,Construction & Engineering,290.62,-2.80%,13.00%,10.00%,1,1,0.0,1.0,0,1.0,0.5,1,10.09%,23.22%,10.86%,53.48x,1.97x,6.58x,28.28x,37.24x,13.48%,5.48%,15.50%,14.09%,14.03%,9.11%,0.12%,17.61%
DGX,Quest Diagnostics Inc,Healthcare Providers & Services,176.68,-3.85%,4.00%,29.00%,0,1,1.0,1.0,1,1.0,0.5,1,-9.45%,3.18%,8.62%,21.58x,1.86x,2.74x,13.19x,45.41x,13.35%,6.18%,8.62%,8.56%,9.29%,4.03%,1.89%,6.90%
RL,Ralph Lauren Corp,Textiles & Apparel,221.95,3.09%,2.00%,32.00%,1,1,0.0,1.0,0,1.0,0.5,1,18.31%,1.40%,53.48%,25.28x,2.47x,6.75x,18.52x,35.55x,27.57%,10.00%,11.68%,10.46%,4.32%,4.65%,1.32%,4.78%
RJF,Raymond James Financial Inc,Investment Banking & Investment Services,137.58,-4.24%,-1.00%,13.00%,0,1,0.0,1.0,0,1.0,0.5,1,0.18%,-1.09%,7.65%,14.11x,1.89x,2.45x,12.47x,83.09x,18.93%,2.66%,2.99%,7.34%,7.48%,4.85%,1.37%,15.00%
O,Realty Income Corp,Residential & Commercial REITs,57.24,-0.40%,0.00%,6.00%,0,0,-1.0,-1.0,0,-1.0,0.0,1,-9.35%,2.23%,-6.69%,50.04x,9.24x,1.28x,14.66x,40.84x,2.48%,1.43%,46.94%,8.33%,2.63%,5.13%,5.84%,2.37%
REG,Regency Centers Corp,Residential & Commercial REITs,71.83,-2.08%,-2.00%,23.00%,0,1,0.0,0.5,1,0.0,1.0,1,-6.60%,1.57%,7.05%,33.53x,8.77x,1.99x,16.35x,40.30x,5.83%,3.24%,7.11%,7.96%,3.87%,4.18%,3.97%,3.02%
REGN,Regeneron Pharmaceuticals Inc,Biotechnology & Medical Research,610.86,2.03%,-5.00%,-32.00%,0,1,0.0,0.5,1,0.0,1.0,1,-6.57%,-10.20%,-44.89%,15.19x,4.57x,2.20x,12.90x,8.43x,15.96%,12.51%,-21.90%,12.01%,-5.70%,6.94%,0.59%,0.00%
RF,Regions Financial Corp,Banking Services,20.46,-4.85%,-5.00%,3.00%,1,1,0.0,1.0,0,1.0,0.5,1,-2.32%,-6.99%,-0.34%,10.32x,2.70x,1.14x,9.54x,0.00x,11.78%,1.28%,14.43%,10.36%,5.08%,4.23%,4.68%,11.03%
RSG,Republic Services Inc,Professional & Commercial Services  ,246.11,2.47%,2.00%,27.00%,1,1,1.0,1.0,0,1.0,0.5,1,-2.12%,13.85%,22.08%,37.84x,4.85x,6.71x,20.66x,53.24x,18.54%,6.47%,6.66%,10.89%,5.21%,5.34%,0.92%,7.83%
RMD,Resmed Inc,Healthcare Equipment & Supplies,234.14,-1.24%,7.00%,8.00%,-1,0,1.0,1.0,1,1.0,0.5,1,-2.38%,10.43%,2.17%,27.56x,7.17x,6.49x,23.67x,10.82x,25.81%,18.26%,22.93%,10.43%,9.28%,7.78%,0.86%,5.34%
RVTY,Revvity Inc,Healthcare Equipment & Supplies,95.06,0.09%,-11.00%,-7.00%,0,0,0.0,-1.0,0,-1.0,0.5,1,-10.70%,-17.41%,-27.05%,37.37x,3.85x,1.41x,14.95x,29.32x,3.82%,2.30%,0.61%,12.37%,3.48%,5.98%,0.31%,4.56%
ROK,Rockwell Automation Inc,"Machinery, Equipment & Components",246.54,-0.51%,-4.00%,-11.00%,0,1,0.0,1.0,1,1.0,0.5,1,15.70%,5.79%,2.75%,38.58x,4.33x,10.04x,28.44x,50.53x,25.86%,8.01%,0.62%,16.58%,-1.81%,6.60%,1.71%,5.20%
ROL,Rollins Inc,Professional & Commercial Services  ,56.02,0.67%,4.00%,23.00%,0,0,0.0,1.0,0,0.0,0.5,1,-3.95%,15.77%,11.80%,57.60x,7.94x,20.29x,46.43x,26.37x,37.83%,17.02%,12.12%,12.61%,10.72%,8.50%,1.16%,17.04%
ROP,Roper Technologies Inc,Software & IT Services,551.95,-0.93%,-4.00%,6.00%,0,1,1.0,0.5,0,0.0,0.5,1,-4.54%,2.49%,-5.57%,41.03x,8.45x,3.18x,26.26x,27.95x,8.09%,4.88%,8.90%,8.32%,11.67%,7.51%,0.58%,10.15%
ROST,Ross Stores Inc,Other Specialty Retailers,139.37,0.24%,11.00%,5.00%,1,0,0.0,1.0,0,1.0,1.0,1,2.15%,14.62%,5.17%,24.08x,2.36x,8.98x,19.75x,21.37x,39.57%,14.46%,-1.74%,9.34%,4.19%,4.96%,1.06%,7.58%
RCL,Royal Caribbean Cruises Ltd,Hotels & Entertainment Services,216.31,-4.68%,2.00%,51.00%,1,1,0.0,1.0,0,1.0,1.0,1,5.92%,2.36%,46.96%,19.81x,3.86x,8.13x,13.23x,70.43x,49.53%,9.00%,29.83%,15.67%,9.27%,9.47%,1.26%,-20.33%
RTX,Rtx Corp,Aerospace & Defense,124.80,-1.07%,-5.00%,23.00%,0,1,0.0,1.0,1,1.0,0.5,1,3.20%,12.22%,14.56%,39.31x,2.19x,2.91x,19.36x,39.47x,7.54%,3.01%,3.84%,12.44%,4.29%,5.78%,2.03%,-3.35%
SPGI,S&P Global Inc,Professional & Commercial Services  ,479.37,-1.53%,-4.00%,15.00%,1,1,0.0,1.0,1,1.0,1.0,1,-0.25%,0.00%,5.02%,40.15x,10.82x,4.70x,28.78x,23.19x,11.68%,7.10%,7.96%,11.86%,5.09%,7.15%,0.75%,9.81%
CRM,Salesforce Inc,Software & IT Services,265.64,-2.52%,-1.00%,-2.00%,0,1,1.0,1.0,1,1.0,0.5,1,0.52%,-6.80%,-9.29%,44.52x,7.18x,4.46x,28.11x,12.12x,10.26%,6.11%,9.31%,12.38%,7.74%,8.99%,0.59%,0.00%
SBAC,SBA Communications Corp,Residential & Commercial REITs,223.28,-0.36%,2.00%,13.00%,0,0,0.0,1.0,0,0.0,0.5,1,-3.83%,13.81%,7.02%,30.21x,9.13x,0.00x,22.93x,165.28x,0.00%,7.95%,21.76%,10.41%,2.50%,4.66%,1.95%,39.58%
SLB,Schlumberger NV,Oil & Gas Related Equipment and Services,34.10,-5.52%,-18.00%,-30.00%,0,1,0.0,-1.0,1,0.0,1.0,1,-9.29%,-17.04%,-34.04%,11.45x,1.27x,2.35x,7.39x,40.29x,20.82%,8.90%,-7.04%,7.89%,-2.60%,3.90%,3.38%,-11.27%
STX,Seagate Technology Holdings PLC,"Computers, Phones & Household Electronics",82.16,1.33%,-3.00%,-4.00%,0,1,0.0,1.0,1,0.0,0.5,1,23.08%,11.06%,4.46%,15.88x,2.71x,0.00x,13.22x,119.20x,0.00%,20.38%,513.95%,20.96%,38.34%,11.98%,2.65%,2.13%
SRE,Sempra,Multiline Utilities,75.60,0.37%,7.00%,5.00%,0,0,0.0,1.0,1,0.0,0.5,1,-3.31%,-6.56%,-9.84%,16.89x,3.75x,1.63x,11.40x,49.69x,9.91%,2.07%,-2.58%,10.82%,11.16%,4.71%,3.36%,5.27%
