Symbol,Company Name,Industry,Prior Close,5 Day Chg_x,4 Week Chg_x,52 Week Chg,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,P/E Ratio (TTM)*,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
NOW,ServiceNow Inc,Software & IT Services,937.41,-1.88%,18.00%,31.00%,1,1,1.0,1.0,0,1.0,1.0,1,1.61%,9.89%,19.71%,138.00x,18.33x,20.74x,98.61x,12.81x,16.86%,7.99%,19.04%,20.04%,18.52%,19.37%,0.00%,0.00%
SHW,Sherwin-Williams Co,Chemicals,332.20,-2.35%,-2.00%,8.00%,0,1,0.0,1.0,1,1.0,0.5,1,-0.92%,5.59%,4.36%,33.37x,3.84x,21.42x,26.69x,72.29x,70.22%,11.15%,4.85%,11.78%,1.54%,4.77%,0.90%,13.68%
SPG,Simon Property Group Inc,Residential & Commercial REITs,158.51,-3.12%,-5.00%,10.00%,1,1,0.0,0.5,0,1.0,0.5,1,-5.06%,-11.41%,-1.85%,20.35x,8.60x,20.10x,13.74x,88.34x,72.81%,7.15%,-14.46%,11.92%,5.21%,2.80%,5.32%,-0.61%
SWKS,Skyworks Solutions Inc,Semiconductors & Semiconductor Equipment ,62.11,-2.66%,-4.00%,-41.00%,0,0,0.0,1.0,0,0.0,0.0,1,7.41%,9.44%,-31.59%,27.49x,2.67x,1.82x,12.14x,14.35x,6.70%,5.09%,-18.98%,-16.73%,-7.93%,-6.43%,3.98%,11.64%
SW,Smurfit WestRock PLC,Containers & Packaging,42.55,-4.61%,-5.00%,18.00%,0,1,0.0,0.0,1,0.0,1.0,1,-1.63%,-13.90%,-13.99%,45.99x,0.90x,1.30x,9.56x,44.29x,4.25%,1.74%,18.60%,24.74%,48.84%,3.07%,3.87%,0.00%
SNA,Snap-On Inc,"Machinery, Equipment & Components",309.79,-2.06%,-6.00%,14.00%,0,0,0.0,0.5,0,0.0,0.5,1,-2.97%,-0.65%,5.63%,16.81x,3.31x,3.04x,14.69x,17.86x,19.15%,13.29%,-3.90%,7.47%,-0.64%,4.51%,2.67%,14.46%
SOLV,Solventum Corp,Healthcare Equipment & Supplies,66.07,-0.38%,-12.00%,3.00%,1,0,0.0,0.0,0,0.0,0.5,1,1.02%,2.13%,6.65%,33.39x,1.51x,3.85x,13.62x,70.81x,10.66%,2.59%,-17.01%,5.94%,2.05%,-0.08%,0.00%,0.00%
SO,Southern Co,Electrical Utilities & IPPs,90.75,1.67%,-1.00%,24.00%,0,1,0.0,-1.0,0,0.0,0.0,1,-8.39%,5.93%,2.56%,21.28x,3.51x,2.89x,10.43x,64.83x,14.01%,3.09%,5.68%,6.54%,3.39%,4.08%,3.33%,3.06%
LUV,Southwest Airlines Co,Passenger Transportation Services,26.65,-2.01%,-21.00%,-2.00%,0,1,1.0,1.0,1,1.0,0.0,1,10.74%,6.77%,1.69%,37.47x,0.64x,1.91x,8.12x,41.68x,5.58%,1.58%,20.83%,112.07%,2.06%,6.77%,2.31%,0.57%
SWK,Stanley Black & Decker Inc,"Machinery, Equipment & Components",61.28,-6.17%,-19.00%,-31.00%,0,0,0.0,0.5,0,0.0,0.5,1,0.59%,-22.75%,-30.87%,28.17x,0.67x,1.16x,10.98x,43.26x,4.03%,1.54%,-1.83%,33.41%,1.64%,4.47%,4.94%,3.84%
SBUX,Starbucks Corp,Hotels & Entertainment Services,83.90,-3.77%,-14.00%,-5.00%,0,1,0.0,-1.0,1,0.0,0.5,1,-5.99%,-22.42%,-5.50%,30.52x,2.63x,0.00x,19.85x,195.71x,0.00%,10.26%,-26.28%,20.90%,1.91%,6.16%,2.91%,9.63%
STT,State Street Corp,Investment Banking & Investment Services,87.57,-1.87%,-2.00%,19.00%,1,1,1.0,1.0,1,1.0,0.5,1,3.31%,1.27%,14.44%,10.82x,2.12x,1.20x,7.67x,0.00x,11.81%,0.81%,8.88%,10.17%,2.89%,3.20%,3.15%,7.96%
STLD,Steel Dynamics Inc,Metals & Mining,127.94,-2.92%,3.00%,-5.00%,0,0,0.0,1.0,1,0.0,1.0,1,-4.27%,0.70%,-11.10%,17.17x,1.12x,2.20x,11.49x,32.20x,13.08%,7.62%,-1.73%,29.58%,6.60%,5.89%,1.54%,13.90%
STE^K15,Steris PLC,Healthcare Equipment & Supplies,225.26,-1.25%,1.00%,10.00%,0,0,0.0,0.5,0,0.0,0.5,1,1.12%,15.63%,-3.96%,39.58x,4.39x,3.62x,29.26x,23.60x,9.45%,5.77%,7.40%,8.58%,6.40%,6.43%,0.94%,8.99%
SYK,Stryker Corp,Healthcare Equipment & Supplies,366.49,-3.55%,0.00%,9.00%,1,1,0.0,1.0,1,1.0,1.0,1,-1.63%,2.51%,2.45%,51.05x,6.23x,6.91x,36.87x,44.50x,14.26%,6.69%,9.43%,10.94%,9.60%,8.35%,0.89%,9.27%
SMCI,Super Micro Computer Inc,"Computers, Phones & Household Electronics",37.27,-6.01%,6.00%,-57.00%,0,0,0.0,0.5,0,0.0,0.5,1,8.33%,-27.00%,-57.02%,22.88x,1.14x,3.87x,20.53x,28.09x,20.06%,11.73%,-2.26%,37.50%,51.38%,36.17%,0.00%,0.00%
$SYF,Synchrony Financial,Banking Services,52.17,-5.01%,-2.00%,15.00%,1,0,1.0,1.0,0,1.0,0.5,1,3.90%,-5.76%,19.88%,7.89x,1.18x,1.42x,6.49x,0.00x,19.59%,2.44%,-9.47%,12.27%,2.15%,5.22%,2.09%,2.82%
SNPS,Synopsys Inc,Software & IT Services,443.97,-2.14%,2.00%,-18.00%,0,0,0.0,1.0,1,1.0,1.0,1,7.70%,6.73%,-20.20%,60.45x,12.82x,8.37x,50.00x,0.15x,16.27%,10.82%,12.80%,14.37%,10.50%,12.49%,0.00%,0.00%
SYY,Sysco Corp,Food & Drug Retailing ,70.42,-0.51%,-4.00%,-8.00%,1,0,0.0,-1.0,0,0.0,1.0,1,-6.84%,5.83%,-10.09%,18.62x,0.43x,18.15x,12.27x,87.38x,94.89%,7.48%,0.93%,7.59%,3.07%,3.78%,3.00%,5.92%
TROW,T Rowe Price Group Inc,Investment Banking & Investment Services,88.73,-3.27%,-3.00%,-22.00%,0,0,0.0,0.5,0,0.0,-0.5,1,-0.93%,-8.83%,-27.08%,10.72x,2.93x,2.01x,8.47x,0.38x,19.47%,15.25%,-11.68%,2.43%,-2.13%,2.47%,5.38%,10.29%
TMUS,T-Mobile Us Inc,Telecommunications Services,236.77,0.27%,-12.00%,42.00%,1,1,1.0,-1.0,1,0.0,0.5,1,-13.76%,-4.98%,32.19%,23.48x,3.31x,4.48x,11.09x,59.99x,19.35%,5.66%,10.46%,18.65%,6.18%,5.07%,1.46%,0.00%
TTWO,Take-Two Interactive Software Inc,Software & IT Services,225.55,-2.72%,7.00%,56.00%,0,0,0.0,1.0,1,0.0,1.0,1,-4.72%,9.96%,36.32%,0,5.59x,18.72x,0.00x,63.14x,-114.76%,-41.86%,18.43%,203.97%,5.81%,53.16%,0.00%,0.00%
TPR,Tapestry Inc,Other Specialty Retailers,69.26,-5.11%,-2.00%,72.00%,1,1,1.0,1.0,1,0.0,1.0,1,8.58%,-4.40%,72.99%,20.78x,2.39x,10.98x,15.96x,64.36x,40.27%,8.17%,18.18%,6.11%,4.33%,2.10%,1.77%,0.73%
TRGP,Targa Resources Corp,Oil & Gas Related Equipment and Services,179.25,-4.42%,-10.00%,52.00%,0,1,0.0,-1.0,1,0.0,1.0,1,-15.61%,-18.62%,25.76%,29.28x,2.11x,14.11x,11.70x,86.30x,46.37%,6.88%,32.37%,20.46%,33.20%,11.31%,2.51%,-5.45%
TGT,Target Corp,Diversified Retail,96.37,-2.07%,-7.00%,-41.00%,0,1,1.0,0.5,1,0.0,0.0,1,-6.36%,-22.31%,-39.73%,10.45x,0.41x,2.89x,5.97x,50.87x,29.08%,7.52%,-13.77%,8.25%,-1.43%,2.40%,4.71%,11.30%
TEL,TE Connectivity PLC,Electronic Equipment & Parts,144.90,-2.58%,2.00%,0.00%,1,0,0.0,1.0,0,1.0,0.5,1,3.95%,6.82%,-4.82%,34.85x,2.94x,3.91x,21.34x,31.48x,11.33%,5.98%,8.60%,9.38%,5.16%,7.24%,1.79%,6.62%
TDY,Teledyne Technologies Inc,Electronic Equipment & Parts,463.04,-1.64%,-7.00%,22.00%,0,0,1.0,1.0,0,1.0,1.0,1,-0.20%,2.01%,8.34%,27.90x,3.96x,2.30x,20.01x,22.99x,8.61%,5.59%,8.31%,10.95%,6.59%,5.45%,0.00%,0.00%
TER,Teradyne Inc,Semiconductors & Semiconductor Equipment ,76.83,-5.42%,-7.00%,-32.00%,0,0,0.0,0.5,-1,0.0,0.5,1,-4.67%,-30.67%,-50.09%,22.22x,4.33x,4.51x,17.69x,0.00x,21.55%,16.58%,-0.62%,42.19%,2.77%,18.52%,0.61%,5.92%
TSLA,Tesla Inc,Automobiles & Auto Parts,285.88,-0.52%,8.00%,69.00%,0,1,0.0,1.0,1,0.0,0.0,0,23.38%,0.77%,72.01%,187.71x,11.48x,14.71x,91.55x,9.08x,9.16%,5.49%,-21.07%,46.07%,-1.03%,20.67%,0.00%,0.00%
TXN,Texas Instruments Inc,Semiconductors & Semiconductor Equipment ,162.44,-4.06%,-8.00%,-8.00%,0,1,1.0,1.0,-1,0.0,0.5,1,4.35%,-7.48%,-19.17%,34.14x,10.20x,9.98x,25.05x,43.92x,29.04%,14.20%,6.35%,19.89%,10.83%,10.23%,3.02%,10.38%
TPL,Texas Pacific Land Corp,Oil & Gas,"1,350.38",-9.75%,2.00%,124.00%,0,0,1.0,1.0,0,-1.0,,1,-10.11%,-6.41%,93.71%,63.96x,40.40x,24.37x,59.58x,0.00x,39.52%,35.23%,0.00%,0.00%,0.00%,0.00%,0.50%,49.91%
TXT,Textron Inc,Aerospace & Defense,69.38,-3.32%,-6.00%,-21.00%,1,0,0.0,1.0,0,0.0,0.5,1,1.56%,6.23%,-25.07%,16.62x,0.96x,1.82x,10.90x,33.92x,11.70%,4.98%,11.86%,12.72%,7.06%,4.69%,0.11%,0.00%
TMO,Thermo Fisher Scientific Inc,Healthcare Equipment & Supplies,421.34,-1.10%,-15.00%,-26.00%,0,1,1.0,-1.0,1,0.0,1.0,1,-11.88%,-22.03%,-38.42%,23.50x,3.52x,3.06x,15.79x,40.86x,13.73%,6.73%,2.06%,10.67%,1.88%,6.12%,0.43%,15.48%
TJX,TJX Companies Inc,Diversified Retail,127.13,-2.60%,7.00%,31.00%,1,1,0.0,1.0,1,1.0,1.0,1,-3.83%,10.34%,16.41%,30.54x,2.54x,17.01x,24.25x,25.22x,60.36%,15.70%,5.40%,10.47%,4.60%,5.65%,1.31%,10.49%
TKO,TKO Group Holdings Inc,Media & Publishing,160.43,-3.24%,5.00%,62.00%,1,0,1.0,1.0,0,1.0,1.0,1,-5.54%,-0.13%,32.68%,88.80x,8.98x,7.43x,37.19x,22.76x,4.19%,3.04%,"2,436.36%",96.77%,55.26%,24.55%,0.97%,0.00%
TSCO,Tractor Supply Co,Other Specialty Retailers,49.00,-4.79%,-7.00%,-9.00%,0,1,0.0,-0.5,-1,0.0,0.5,1,-4.83%,-9.92%,-20.21%,24.70x,1.76x,11.79x,17.04x,48.52x,49.62%,10.86%,1.96%,10.58%,4.72%,6.47%,1.85%,26.47%
TT,Trane Technologies PLC,"Machinery, Equipment & Components",351.32,0.45%,5.00%,14.00%,1,1,0.0,1.0,1,1.0,0.0,1,16.11%,21.17%,15.55%,34.94x,4.66x,12.66x,29.81x,38.83x,38.45%,14.13%,15.15%,12.00%,8.51%,7.11%,0.89%,9.65%
TDG,TransDigm Group Inc,Aerospace & Defense,"1,395.72",-0.03%,0.00%,9.00%,0,0,0.0,1.0,1,0.0,1.0,1,-3.57%,12.10%,1.62%,47.41x,9.41x,0.00x,35.09x,129.22x,0.00%,8.74%,10.00%,15.73%,11.69%,8.20%,0.00%,0.00%
TRV,Travelers Companies Inc,Insurance,261.61,0.07%,-1.00%,21.00%,0,1,1.0,1.0,0,1.0,0.5,1,-2.26%,17.67%,13.72%,14.76x,1.31x,2.18x,12.34x,22.18x,15.92%,3.24%,-12.23%,30.04%,5.43%,5.94%,1.62%,5.07%
TRMB,Trimble Inc,Software & IT Services,61.45,-0.63%,-6.00%,3.00%,0,0,1.0,1.0,0,1.0,1.0,1,7.80%,1.25%,11.64%,11.53x,4.73x,3.10x,9.75x,20.43x,31.00%,16.62%,1.75%,13.10%,-6.65%,7.52%,0.00%,0.00%
TFC,Truist Financial Corp,Banking Services,38.34,-4.10%,-7.00%,-1.00%,0,1,1.0,0.5,0,0.0,0.5,1,-2.18%,-11.36%,-7.76%,0,3.87x,0.88x,78.12x,0.00x,-0.48%,0.02%,5.69%,14.62%,1.67%,4.70%,5.27%,4.00%
TYL,Tyler Technologies Inc,Software & IT Services,521.72,-0.93%,-9.00%,14.00%,0,0,1.0,1.0,0,0.0,0.5,1,0.42%,-5.70%,3.61%,85.47x,11.17x,6.96x,56.05x,14.56x,8.87%,5.92%,17.17%,11.08%,9.06%,9.71%,0.00%,0.00%
TSN,Tyson Foods Inc,Food & Tobacco,60.11,-0.31%,-3.00%,0.00%,1,0,1.0,-1.0,0,0.0,0.0,1,-15.19%,-1.71%,-16.42%,21.56x,0.37x,1.08x,8.57x,32.86x,5.01%,2.55%,24.52%,7.77%,1.42%,2.00%,3.60%,5.50%
UBER,Uber Technologies Inc,Software & IT Services,78.33,-2.40%,7.00%,13.00%,-1,1,0.0,1.0,1,1.0,1.0,1,5.79%,13.40%,22.08%,15.35x,4.06x,8.38x,14.10x,29.32x,74.39%,26.68%,-39.47%,24.28%,14.90%,14.19%,0.00%,0.00%
UDR,UDR Inc,Residential & Commercial REITs,41.60,-4.30%,-7.00%,9.00%,1,0,0.0,0.5,0,0.0,0.5,1,-9.43%,-2.37%,-8.01%,112.19x,7.91x,4.04x,16.27x,56.97x,3.30%,1.20%,115.38%,10.71%,2.30%,3.60%,4.29%,3.37%
ULTA,Ulta Beauty Inc,Other Specialty Retailers,386.44,-0.33%,7.00%,-6.00%,1,0,0.0,1.0,1,,0.5,1,-0.16%,17.20%,-1.46%,16.17x,1.64x,7.58x,12.62x,0.00x,50.39%,20.52%,-9.08%,10.63%,2.81%,4.55%,0.00%,0.00%
UNP,Union Pacific Corp,Freight & Logistics Services,212.61,-3.46%,-8.00%,-12.00%,0,1,1.0,0.5,0,0.0,0.5,1,-2.88%,-5.76%,-13.74%,20.08x,5.49x,8.32x,14.56x,67.19x,42.47%,9.92%,3.32%,10.95%,1.02%,4.45%,2.40%,7.37%
UAL,United Airlines Holdings Inc,Passenger Transportation Services,68.84,-0.71%,-3.00%,29.00%,1,1,0.0,0.5,1,0.0,1.0,1,3.33%,-22.35%,31.71%,6.92x,0.43x,1.97x,3.76x,68.68x,33.57%,4.95%,-3.02%,20.60%,2.87%,7.39%,0.00%,0.00%
UPS,United Parcel Service Inc,Freight & Logistics Services,97.09,-3.37%,-11.00%,-34.00%,0,1,0.0,-1.0,-1,0.0,0.5,1,-7.97%,-12.91%,-38.73%,14.15x,0.90x,5.24x,8.66x,57.67x,35.96%,8.61%,-8.94%,13.51%,-4.12%,0.81%,6.76%,11.17%
URI,United Rentals Inc,Professional & Commercial Services  ,629.18,-1.35%,1.00%,-8.00%,1,1,1.0,1.0,1,1.0,0.5,1,2.05%,6.06%,-6.36%,18.23x,2.94x,5.20x,8.29x,59.52x,30.17%,9.33%,0.79%,9.22%,3.59%,4.59%,1.02%,0.00%
UNH,UnitedHealth Group Inc,Healthcare Providers & Services,420.00,8.14%,-19.00%,-15.00%,0,0,1.0,-1.0,1,0.0,0.5,1,-34.35%,-38.17%,-48.31%,12.42x,0.66x,2.84x,9.93x,43.59x,24.33%,7.72%,-17.03%,15.56%,12.52%,6.72%,2.83%,14.59%
UHS,Universal Health Services Inc,Healthcare Providers & Services,172.91,-4.71%,-8.00%,3.00%,1,0,1.0,1.0,0,0.0,0.5,1,0.71%,6.13%,-5.22%,10.48x,0.75x,1.77x,6.64x,40.31x,18.35%,8.43%,18.66%,9.23%,8.29%,5.58%,0.43%,5.92%
USB,US Bancorp,Banking Services,40.18,-3.28%,-6.00%,-3.00%,1,1,0.0,1.0,1,1.0,0.5,1,1.08%,-3.44%,-3.92%,10.68x,2.44x,1.26x,9.21x,0.00x,12.35%,0.99%,9.05%,10.37%,4.17%,4.57%,4.64%,5.19%
VLO,Valero Energy Corp,Oil & Gas,114.75,-4.91%,-13.00%,-31.00%,1,0,0.0,1.0,1,0.0,1.0,1,6.61%,-3.13%,-27.82%,45.38x,0.31x,1.72x,10.63x,29.20x,3.73%,1.68%,-23.47%,53.93%,-8.97%,1.79%,3.51%,3.52%
VTR,Ventas Inc,Residential & Commercial REITs,68.50,-1.82%,-1.00%,55.00%,0,1,0.0,-1.0,0,0.0,1.0,1,-12.65%,-0.30%,19.29%,192.29x,5.65x,2.43x,24.23x,51.70x,1.32%,0.59%,136.84%,64.44%,11.72%,8.68%,3.02%,-4.61%
VLTO,Veralto Corp,Professional & Commercial Services  ,92.07,0.05%,-4.00%,-2.00%,1,1,0.0,1.0,0,1.0,0.5,0,3.34%,8.21%,-8.96%,28.87x,4.74x,10.87x,26.35x,53.25x,46.19%,14.15%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%
VRSN,"VeriSign, Inc",Software & IT Services,276.19,0.08%,9.00%,55.00%,1,0,1.0,1.0,0,1.0,0.5,1,4.76%,26.20%,46.25%,34.44x,16.80x,0.00x,32.01x,0.00x,0.00%,49.81%,10.00%,6.14%,5.51%,1.92%,1.09%,0.00%
VRSK,"Verisk Analytics, Inc.",Software & IT Services,288.41,2.27%,-3.00%,29.00%,1,1,0.0,0.5,0,0.0,0.5,1,2.39%,12.46%,12.58%,46.36x,15.00x,357.68x,34.44x,96.81x,475.86%,20.03%,6.17%,11.91%,6.79%,7.22%,0.57%,9.30%
VZ,Verizon Communications Inc,Telecommunications Services,42.39,-0.80%,-7.00%,6.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-5.41%,6.29%,-1.53%,10.25x,1.34x,1.81x,5.13x,58.47x,18.23%,4.79%,2.18%,3.20%,1.72%,1.79%,6.28%,1.98%
VRTX,Vertex Pharmaceuticals Inc,Pharmaceuticals,496.49,-0.08%,0.00%,24.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-17.26%,-5.38%,-11.90%,0,10.04x,6.76x,0.00x,0.67x,-5.64%,-4.23%,"4,173.81%",14.71%,8.31%,10.71%,0.00%,0.00%
VTRS,Viatris Inc,Pharmaceuticals,8.25,-3.30%,-6.00%,-30.00%,0,0,0.0,0.5,0,0.0,0.0,1,-0.62%,-19.52%,-29.00%,0,0.70x,0.64x,0.00x,47.53x,-21.25%,-8.83%,-16.23%,10.36%,-6.33%,1.89%,5.65%,0.00%
VICI,VICI Properties Inc,Residential & Commercial REITs,32.24,-1.36%,1.00%,13.00%,0,0,0.0,-1.0,0,-1.0,1.0,1,-9.76%,6.21%,-4.02%,12.45x,8.49x,1.24x,12.31x,39.59x,10.12%,5.96%,0.00%,0.00%,0.00%,0.00%,5.54%,7.70%
V,Visa Inc,Software & IT Services,337.51,-1.20%,-2.00%,22.00%,1,1,1.0,1.0,1,1.0,1.0,1,0.11%,6.95%,18.00%,35.96x,18.45x,18.73x,33.04x,35.31x,51.67%,21.47%,12.84%,12.17%,10.00%,10.32%,0.66%,15.77%
VST,Vistra Corp,Electrical Utilities & IPPs,129.62,1.75%,6.00%,74.00%,0,0,0.0,1.0,1,0.0,1.0,1,16.93%,-0.71%,49.09%,24.38x,2.90x,22.40x,10.13x,79.67x,80.81%,6.61%,-6.57%,29.66%,17.08%,7.45%,0.57%,11.80%
VMC,Vulcan Materials Co,Construction Materials,245.39,0.23%,6.00%,-5.00%,0,1,0.0,1.0,0,1.0,1.0,1,2.23%,10.02%,-5.39%,38.25x,4.78x,4.41x,22.24x,37.65x,12.10%,6.18%,12.88%,17.18%,9.94%,7.02%,0.72%,8.21%
WRB,W R Berkley Corp,Insurance,70.69,-0.70%,-1.00%,38.00%,1,1,1.0,1.0,0,1.0,0.0,1,-5.54%,25.16%,25.16%,16.74x,1.96x,3.07x,15.75x,24.16x,20.73%,4.37%,4.11%,10.90%,8.09%,8.23%,0.44%,4.07%
WBA,Walgreens Boots Alliance Inc,Food & Drug Retailing ,10.97,0.54%,-2.00%,-38.00%,-1,0,0.0,-0.5,0,0.0,0.0,0,-4.33%,11.99%,-38.00%,0,0.06x,1.37x,0.00x,55.33x,-56.12%,-9.70%,-41.32%,-13.61%,2.81%,1.68%,0.00%,-3.67%
WMT,Walmart Inc,Food & Drug Retailing ,95.22,-0.44%,12.00%,58.00%,1,1,1.0,1.0,1,1.0,1.0,1,-6.03%,3.34%,33.56%,41.15x,1.12x,9.16x,23.47x,36.84x,22.80%,7.55%,3.98%,11.49%,3.65%,4.47%,0.98%,3.27%
DIS,Walt Disney Co,Media & Publishing,90.16,-0.97%,-8.00%,-20.00%,0,1,0.0,1.0,1,1.0,1.0,1,15.91%,5.27%,-2.01%,22.70x,2.12x,1.96x,13.73x,28.28x,8.75%,4.83%,15.90%,9.03%,3.96%,5.38%,0.90%,-15.68%
WBD^E11,Warner Bros Discovery Inc,Media & Publishing,8.70,-1.31%,-17.00%,6.00%,-1,0,0.0,0.5,0,-1.0,0.5,0,-0.37%,-14.44%,1.66%,0,0.58x,0.66x,2.55x,51.55x,-27.69%,-9.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
WM,Waste Management Inc,Professional & Commercial Services  ,229.08,2.32%,0.00%,9.00%,1,1,1.0,-1.0,0,0.0,0.5,1,-3.70%,6.64%,0.97%,35.20x,4.10x,10.85x,18.47x,73.37x,34.01%,6.93%,5.53%,12.32%,15.69%,5.64%,1.41%,7.91%
WAT,Waters Corp,Healthcare Equipment & Supplies,339.88,-0.89%,-7.00%,9.00%,0,0,0.0,0.5,0,0.0,0.5,0,-3.98%,-4.18%,-9.25%,31.63x,6.95x,10.56x,24.37x,42.61x,40.82%,14.44%,8.85%,9.99%,5.03%,6.42%,0.00%,0.00%
WEC,WEC Energy Group Inc,Electrical Utilities & IPPs,108.54,0.55%,0.00%,32.00%,0,1,1.0,-1.0,0,0.0,0.5,1,-9.06%,6.70%,16.43%,20.59x,3.71x,2.59x,11.20x,60.44x,12.99%,3.53%,7.38%,6.68%,8.96%,5.12%,3.38%,7.19%
WFC,Wells Fargo & Co,Banking Services,69.43,-2.91%,-1.00%,16.00%,1,1,0.0,1.0,1,1.0,1.0,1,-0.95%,-2.26%,9.42%,13.19x,2.93x,1.47x,8.96x,0.00x,11.64%,1.03%,8.01%,14.66%,1.28%,4.79%,2.18%,-4.82%
WELL,Welltower Inc,Residential & Commercial REITs,149.05,0.01%,-4.00%,56.00%,0,0,0.0,-1.0,1,0.0,1.0,1,-6.66%,2.33%,31.00%,158.05x,11.23x,2.82x,40.16x,31.40x,1.90%,1.21%,16.56%,27.87%,23.22%,11.84%,1.82%,-9.64%
WST,West Pharmaceutical Services Inc,Healthcare Equipment & Supplies,216.12,-1.04%,-3.00%,-40.00%,0,0,0.0,-0.5,0,0.0,1.0,1,-7.05%,7.20%,-43.34%,32.75x,5.17x,5.58x,24.43x,7.16x,17.42%,12.56%,-6.67%,13.33%,2.34%,5.86%,0.40%,5.84%
WDC,Western Digital Corp,"Computers, Phones & Household Electronics",40.91,0.18%,0.00%,-23.00%,0,1,1.0,1.0,1,1.0,1.0,1,16.49%,-3.11%,-18.52%,9.62x,1.20x,3.36x,7.31x,57.56x,24.19%,9.45%,0.00%,12.40%,48.37%,7.90%,0.80%,0.00%
WAB,Westinghouse Air Brake Technologies Corp,"Machinery, Equipment & Components",183.23,-1.98%,1.00%,12.00%,1,0,0.0,1.0,1,0.0,0.5,1,1.39%,9.12%,7.23%,31.38x,3.26x,3.30x,21.19x,27.79x,10.62%,5.90%,15.08%,11.84%,5.21%,5.95%,0.50%,10.76%
WY,Weyerhaeuser Co,Residential & Commercial REITs,25.57,-4.61%,-15.00%,-20.00%,-1,0,0.0,0.5,0,0.0,1.0,1,-7.04%,-11.78%,-25.28%,50.38x,2.58x,1.90x,21.12x,34.88x,3.71%,2.19%,18.87%,44.44%,2.51%,5.03%,3.33%,-10.07%
WMB,Williams Companies Inc,Oil & Gas Related Equipment and Services,59.66,-1.74%,0.00%,50.00%,0,1,0.0,1.0,1,1.0,0.5,1,-9.04%,3.46%,28.83%,30.98x,6.54x,5.65x,15.11x,64.84x,18.35%,4.48%,18.68%,11.11%,13.72%,10.43%,3.46%,4.56%
WSM,Williams-Sonoma Inc,Other Specialty Retailers,152.54,-6.57%,-5.00%,7.00%,0,1,0.0,0.5,0,1.0,0.5,0,-0.54%,-19.77%,4.10%,18.58x,2.53x,9.13x,14.94x,0.00x,49.97%,21.16%,-2.96%,5.98%,0.09%,3.14%,1.65%,18.18%
WTW,Willis Towers Watson PLC,Insurance,303.16,-0.63%,-10.00%,20.00%,0,0,0.0,-1.0,0,-1.0,0.5,1,-5.81%,-0.66%,9.17%,0,3.11x,3.76x,77.33x,39.26x,-0.60%,-0.15%,-1.83%,14.08%,-3.05%,5.64%,1.19%,6.42%
WDAY,Workday Inc,Software & IT Services,239.82,-0.96%,0.00%,-5.00%,0,0,0.0,1.0,0,0.0,0.5,1,7.84%,8.89%,-4.90%,129.02x,8.37x,8.16x,88.86x,25.08x,5.70%,2.94%,18.49%,16.99%,12.63%,13.19%,0.00%,0.00%
GWW,WW Grainger Inc,"Machinery, Equipment & Components","1,011.41",-0.59%,4.00%,9.00%,1,0,1.0,1.0,0,1.0,0.0,1,-0.68%,10.22%,1.61%,27.52x,3.00x,14.89x,23.18x,37.22x,57.19%,23.36%,3.90%,10.18%,4.31%,6.56%,0.84%,7.12%
WYNN,Wynn Resorts Ltd,Hotels & Entertainment Services,82.20,-7.00%,0.00%,-14.00%,1,0,0.0,1.0,1,0.0,1.0,1,4.62%,1.85%,-13.51%,23.57x,1.36x,0.00x,8.03x,111.66x,0.00%,4.16%,-19.60%,11.78%,-1.96%,3.22%,1.10%,-23.23%
XEL,Xcel Energy Inc,Electrical Utilities & IPPs,69.58,-2.88%,-1.00%,28.00%,0,1,0.0,1.0,0,0.0,0.5,1,-7.56%,4.55%,13.24%,20.40x,2.91x,2.01x,8.17x,61.23x,10.26%,2.79%,9.48%,8.40%,12.71%,6.50%,3.29%,6.28%
XYL,Xylem Inc,"Machinery, Equipment & Components",115.92,-1.07%,-3.00%,-12.00%,0,1,0.0,1.0,1,1.0,1.0,1,1.73%,1.12%,-21.63%,33.70x,3.55x,2.82x,20.64x,15.42x,8.62%,5.57%,7.96%,11.28%,2.14%,4.78%,1.28%,8.45%
YUM,Yum! Brands Inc,Hotels & Entertainment Services,147.75,-1.05%,-5.00%,4.00%,0,1,0.0,-1.0,0,0.0,0.0,1,-7.44%,0.93%,-5.00%,29.07x,5.23x,0.00x,24.36x,319.74x,0.00%,22.12%,10.04%,11.28%,6.80%,6.25%,1.95%,9.79%
ZBRA,Zebra Technologies Corp,Electronic Equipment & Parts,243.49,-3.35%,-12.00%,-17.00%,0,0,0.0,1.0,0,1.0,0.5,1,10.92%,-5.93%,-19.89%,27.26x,2.87x,4.07x,20.40x,37.46x,16.16%,7.24%,6.43%,13.69%,5.54%,6.09%,0.00%,0.00%
